num_requests;num_threads;job_process_wallclock_time_msec;job_merge_wallclock_time_msec;job_full_wallclock_time_msec;sample_num;batch_num
2048;1024;1275;214;1489;8;2
2048;1024;1269;214;1483;9;2
2048;1024;1269;238;1507;10;2
2048;1024;1284;235;1519;11;2
2048;1024;1288;237;1525;12;2
2048;1024;1290;221;1511;13;2
2048;1024;1305;223;1528;14;2
2048;1024;1286;206;1492;15;2
2048;1024;1282;204;1486;16;2
2048;1024;1294;232;1526;17;2
2048;1024;1294;228;1522;18;2
2048;1024;1323;203;1526;19;2
2048;1024;1286;207;1493;20;2
2048;1024;1272;213;1485;21;2
2048;1024;1279;229;1508;22;2
2048;1024;1272;236;1508;23;2
2048;1024;1273;221;1494;24;2
2048;2048;1918;1102;3020;0;1
2048;2048;3466;7483;10949;1;1
2048;2048;2984;1011;3995;2;1
2048;2048;2616;1047;3663;3;1
2048;2048;3302;1217;4519;4;1
2048;2048;2610;3775;6385;5;1
2048;2048;3068;1085;4153;6;1
2048;2048;2856;1523;4379;7;1
2048;2048;2597;1390;3987;8;1
2048;2048;3003;2004;5007;9;1
2048;2048;2633;1222;3855;10;1
2048;2048;2882;2065;4947;11;1
2048;2048;3097;1473;4570;12;1
2048;2048;2705;1488;4193;13;1
2048;2048;2974;1383;4357;14;1
2048;2048;2990;1481;4471;15;1
2048;2048;2790;1222;4012;16;1
2048;2048;2711;1621;4332;17;1
2048;2048;2701;1251;3952;18;1
2048;2048;2821;1505;4326;19;1
2048;2048;2567;1256;3823;20;1
2048;2048;2713;1583;4296;21;1
2048;2048;2862;1185;4047;22;1
2048;2048;2468;2231;4699;23;1
2048;2048;2731;1202;3933;24;1
